iter	Passed	Remaining
793	2722	706
794	2726	702
795	2729	699
796	2733	696
797	2736	692
798	2740	689
799	2744	686
800	2747	682
801	2751	679
802	2755	675
803	2758	672
804	2762	669
805	2766	665
806	2769	662
807	2773	659
808	2777	655
809	2781	652
810	2785	649
811	2788	645
812	2792	642
813	2796	638
814	2799	635
815	2803	632
816	2805	628
817	2809	625
818	2813	621
819	2817	618
820	2820	614
821	2824	611
822	2828	608
823	2831	604
824	2835	601
825	2839	598
826	2843	594
827	2846	591
828	2850	587
829	2854	584
830	2857	581
831	2861	577
832	2865	574
833	2868	570
834	2872	567
835	2875	564
836	2879	560
837	2882	557
838	2886	553
839	2889	550
840	2893	546
841	2896	543
842	2900	540
843	2904	536
844	2907	533
845	2911	529
846	2914	526
847	2918	523
848	2921	519
849	2925	516
850	2928	512
851	2932	509
852	2935	505
853	2939	502
854	2942	499
855	2946	495
856	2949	492
857	2953	488
858	2956	485
859	2959	481
860	2963	478
861	2966	474
862	2971	471
863	2974	468
864	2978	464
865	2981	461
866	2984	457
867	2988	454
868	2991	450
869	2994	447
870	2997	443
871	3001	440
872	3004	437
873	3007	433
874	3010	430
875	3014	426
876	3017	423
877	3020	419
878	3023	416
879	3027	412
880	3030	409
881	3033	405
882	3037	402
883	3040	398
884	3043	395
885	3046	392
886	3050	388
887	3053	385
888	3057	381
889	3060	378
890	3063	374
891	3066	371
892	3070	367
893	3073	364
894	3076	360
895	3080	357
896	3083	354
897	3086	350
898	3089	347
899	3093	343
900	3096	340
901	3099	336
902	3102	333
903	3105	329
904	3109	326
905	3112	322
906	3115	319
907	3119	316
908	3122	312
909	3125	309
910	3128	305
911	3132	302
912	3135	298
913	3138	295
914	3142	291
915	3145	288
916	3148	285
917	3152	281
918	3155	278
919	3158	274
920	3162	271
921	3165	267
922	3168	264
923	3171	260
924	3175	257
925	3178	253
926	3181	250
927	3185	247
928	3188	243
929	3191	240
930	3195	236
931	3198	233
932	3201	229
933	3204	226
934	3208	223
935	3211	219
936	3214	216
937	3218	212
938	3221	209
939	3224	205
940	3227	202
941	3231	198
942	3234	195
943	3237	192
944	3241	188
945	3244	185
946	3247	181
947	3251	178
948	3254	174
949	3257	171
950	3261	168
951	3264	164
952	3267	161
953	3271	157
954	3274	154
955	3277	150
956	3281	147
957	3284	143
958	3287	140
959	3291	137
960	3294	133
961	3297	130
962	3301	126
963	3304	123
964	3308	119
965	3311	116
966	3314	113
967	3318	109
968	3321	106
969	3324	102
970	3327	99
971	3331	95
972	3334	92
973	3337	89
974	3341	85
975	3344	82
976	3347	78
977	3351	75
978	3354	71
979	3357	68
980	3360	65
981	3363	61
982	3367	58
983	3370	54
984	3374	51
985	3377	47
986	3380	44
987	3384	41
988	3387	37
989	3390	34
990	3393	30
991	3396	27
992	3400	23
993	3403	20
994	3406	17
995	3409	13
996	3413	10
997	3416	6
998	3419	3
999	3423	0
