iter	RMSE
0	9.092477787
1	8.901932546
2	8.722218146
3	8.553387914
4	8.408815129
5	8.268399468
6	8.109250057
7	7.975236305
8	7.831944896
9	7.686366054
10	7.541438417
11	7.402482901
12	7.285077316
13	7.168921947
14	7.033689792
15	6.913531153
16	6.796649513
17	6.671536097
18	6.564126468
19	6.471189167
20	6.371512172
21	6.266543074
22	6.158158206
23	6.071687907
24	5.986141941
25	5.894540311
26	5.808502158
27	5.7194428
28	5.647101768
29	5.565438034
30	5.482353145
31	5.40398406
32	5.321237005
33	5.247306428
34	5.171075754
35	5.099730402
36	5.029694295
37	4.975624722
38	4.909671198
39	4.847087425
40	4.801562998
41	4.73662763
42	4.684060472
43	4.627576202
44	4.570993706
45	4.513982357
46	4.463988307
47	4.417499866
48	4.370596879
49	4.316790536
50	4.27078907
51	4.224297219
52	4.182118775
53	4.139960019
54	4.091136066
55	4.049727953
56	4.011023513
57	3.970326526
58	3.921952297
59	3.88869947
60	3.85767688
61	3.825043233
62	3.798396096
63	3.764989306
64	3.726759439
65	3.692421803
66	3.660649071
67	3.626875482
68	3.594123015
69	3.55811367
70	3.529282343
71	3.505913645
72	3.480843171
73	3.450993131
74	3.425342244
75	3.399524219
76	3.369791177
77	3.350378408
78	3.32251042
79	3.297884707
80	3.281406247
81	3.260673721
82	3.234601075
83	3.207359543
84	3.188241539
85	3.164599542
86	3.141125345
87	3.117963417
88	3.099148012
89	3.074680772
90	3.055421053
91	3.036695828
92	3.021742449
93	3.006138384
94	2.994490633
95	2.977147638
96	2.962732958
97	2.946632094
98	2.926582962
99	2.915532264
100	2.898430834
101	2.886100416
102	2.873786345
103	2.857944654
104	2.845198222
105	2.831282915
106	2.816643552
107	2.80093035
108	2.789273941
109	2.778863298
110	2.760001679
111	2.747780112
112	2.73780243
113	2.721917452
114	2.709355663
115	2.69816102
116	2.682158109
117	2.675211492
118	2.66462518
119	2.656317175
120	2.642749459
121	2.633137671
122	2.623265522
123	2.609117985
124	2.595260934
125	2.58402927
126	2.57483304
127	2.566981582
128	2.552054719
129	2.542185406
130	2.533413101
131	2.525302127
132	2.516693065
133	2.505518929
134	2.496668316
135	2.490489
136	2.482420609
137	2.47480362
138	2.4669878
139	2.456685247
140	2.449370165
141	2.447297824
142	2.442188281
143	2.436175412
144	2.428952126
145	2.41981733
146	2.412565787
147	2.404145498
148	2.39748285
149	2.393140326
150	2.387239966
151	2.376739547
152	2.368225135
153	2.36365232
154	2.356731087
155	2.350949133
156	2.34702344
157	2.339958437
158	2.333451706
159	2.326783918
160	2.320786191
161	2.311261367
162	2.306293244
163	2.300143123
164	2.290465121
165	2.2891262
166	2.283059224
167	2.275141367
168	2.26944836
169	2.260716273
170	2.2554602
171	2.25000675
172	2.244033782
173	2.240366133
174	2.230643605
175	2.223873693
176	2.218092822
177	2.213079437
178	2.210739224
179	2.202732707
180	2.194982233
181	2.184936191
182	2.178533121
183	2.172446604
184	2.163638662
185	2.159245384
186	2.151333791
187	2.145852193
188	2.140670245
189	2.133843989
190	2.130093683
191	2.122962508
192	2.116601822
193	2.11375003
194	2.106633267
195	2.099372301
196	2.092615948
197	2.086347512
198	2.082198615
199	2.079297141
200	2.071722142
201	2.069830453
202	2.060048107
203	2.053898191
204	2.046238987
205	2.040046475
206	2.035572432
207	2.029833285
208	2.02387118
209	2.021509515
210	2.015303088
211	2.007628304
212	2.000306441
213	1.99704328
214	1.990509825
215	1.984667209
216	1.978894001
217	1.973996209
218	1.969695953
219	1.964144369
220	1.961258575
221	1.953623723
222	1.946483341
223	1.93932939
224	1.933168641
225	1.925617602
226	1.918619022
227	1.914934436
228	1.908565604
229	1.904473133
230	1.898889098
231	1.893522688
232	1.889899454
233	1.881435517
234	1.877306531
235	1.872940134
236	1.868406171
237	1.864653977
238	1.859945886
239	1.858356123
240	1.854817207
241	1.847961092
242	1.842273667
243	1.834147626
244	1.829619725
245	1.828059733
246	1.823627381
247	1.820265723
248	1.817332714
249	1.815394647
250	1.81237655
251	1.807525808
252	1.801300092
253	1.795372689
254	1.789606456
255	1.78820609
256	1.782232628
257	1.776356857
258	1.771985906
259	1.766108128
260	1.762994129
261	1.757391121
262	1.751677084
263	1.747075223
264	1.740566174
265	1.736553349
266	1.733519709
267	1.728030665
268	1.722573098
269	1.716700793
270	1.709683572
271	1.705770717
272	1.704918282
273	1.700078122
274	1.694820564
275	1.688153145
276	1.684361848
277	1.681408455
278	1.677195889
279	1.675892371
280	1.673733497
281	1.668854375
282	1.6662083
283	1.665113498
284	1.657621632
285	1.653419111
286	1.647884479
287	1.643149708
288	1.638454366
289	1.636819173
290	1.634425841
291	1.632750177
292	1.629238174
293	1.624936518
294	1.621077599
295	1.616636154
296	1.613773057
297	1.61042525
298	1.605882455
299	1.604923778
300	1.602890995
301	1.597578333
302	1.596120248
303	1.593578379
304	1.592690135
305	1.586854874
306	1.581520845
307	1.581057941
308	1.578350895
309	1.577599687
310	1.573253283
311	1.569576579
312	1.566069453
313	1.563615371
314	1.558700208
315	1.553688852
316	1.553155969
317	1.547731578
318	1.54449954
319	1.539335079
320	1.535706779
321	1.532123447
322	1.527447173
323	1.523110532
324	1.519714794
325	1.51746119
326	1.51405292
327	1.511929323
328	1.506267403
329	1.503954717
330	1.49993236
331	1.49895408
332	1.495608357
333	1.493666209
334	1.492131736
335	1.491178821
336	1.487481212
337	1.48375816
338	1.480298447
339	1.476267736
340	1.472459383
341	1.470159722
342	1.46667204
343	1.464189056
344	1.462718227
345	1.458803433
346	1.453815351
347	1.450026668
348	1.445821506
349	1.442809054
350	1.438385625
351	1.43760929
352	1.433767175
353	1.431962458
354	1.427571864
355	1.423962195
356	1.420367639
357	1.417312027
358	1.413914092
359	1.413024662
360	1.41028235
361	1.408368746
362	1.4055289
363	1.401769502
364	1.401032579
365	1.400205747
366	1.399284506
367	1.394975901
368	1.391510796
369	1.389419
370	1.386670604
371	1.385701542
372	1.385099438
373	1.38396982
374	1.383509757
375	1.380335399
376	1.379621002
377	1.378807537
378	1.375271492
379	1.3712029
380	1.368355655
381	1.365013185
382	1.361468973
383	1.359225069
384	1.356699086
385	1.354508546
386	1.352542004
387	1.349824092
388	1.346059787
389	1.342963948
390	1.339694806
391	1.334683765
392	1.331441722
393	1.328500699
394	1.325809715
395	1.323474443
396	1.320710564
397	1.318888872
398	1.31853389
399	1.31666288
400	1.315985194
401	1.314707937
402	1.311938012
403	1.307891844
404	1.303634093
405	1.302002162
406	1.299823986
407	1.297808403
408	1.294730245
409	1.294220518
410	1.29098085
411	1.286772706
412	1.285720199
413	1.285206576
414	1.282721941
415	1.279463942
416	1.277108717
417	1.275037385
418	1.272415562
419	1.270052975
420	1.268052723
421	1.266022693
422	1.264594053
423	1.264071138
424	1.261724525
425	1.259818522
426	1.259186108
427	1.257565414
428	1.256189262
429	1.255027411
430	1.251637984
431	1.248693768
432	1.246695232
433	1.246208007
434	1.24319167
435	1.24066437
436	1.23877362
437	1.237751409
438	1.236841785
439	1.236330894
440	1.233026556
441	1.230412655
442	1.227308806
443	1.224931683
444	1.223926852
445	1.221527696
446	1.217684556
447	1.21543231
448	1.212423748
449	1.209511185
450	1.20715845
451	1.206714973
452	1.203928004
453	1.202063813
454	1.199959008
455	1.197236458
456	1.19382599
457	1.192039064
458	1.189608901
459	1.187890335
460	1.186360111
461	1.183323043
462	1.180187477
463	1.178482484
464	1.177010805
465	1.174529667
466	1.171384412
467	1.168559706
468	1.168146544
469	1.166364488
470	1.16474513
471	1.164180119
472	1.162339594
473	1.159802944
474	1.156706449
475	1.153761012
476	1.151993652
477	1.150306882
478	1.148846082
479	1.146052493
480	1.142542064
481	1.138952188
482	1.135751391
483	1.133825766
484	1.131293339
485	1.128792937
486	1.126864215
487	1.123495671
488	1.121541819
489	1.118316316
490	1.116400868
491	1.113992267
492	1.111683139
493	1.109940352
494	1.107211296
495	1.105673962
496	1.10529364
497	1.103698956
498	1.102284784
499	1.100791576
500	1.100296988
501	1.098367427
502	1.097287831
503	1.094599121
504	1.093306467
505	1.092719856
506	1.091511464
507	1.089572098
508	1.087808572
509	1.087108845
510	1.085674431
511	1.083888913
512	1.081151065
513	1.080800706
514	1.079007487
515	1.078670764
516	1.076501141
517	1.075539302
518	1.074613809
519	1.072593785
520	1.070399036
521	1.068707519
522	1.068183995
523	1.067868678
524	1.065469156
525	1.062593654
526	1.059934561
527	1.057464988
528	1.056538812
529	1.054599925
530	1.051978313
531	1.04885813
532	1.045900457
533	1.043779633
534	1.04230973
535	1.041988461
536	1.0402133
537	1.038131708
538	1.03525491
539	1.034244173
540	1.031340488
541	1.029194778
542	1.027771926
543	1.025996579
544	1.023171296
545	1.021341177
546	1.019611344
547	1.017354136
548	1.015957329
549	1.015109405
550	1.01325363
551	1.010585977
552	1.008687759
553	1.006811302
554	1.005124225
555	1.003499814
556	1.00114917
557	0.9988101695
558	0.9974972639
559	0.9951810834
560	0.9942562744
561	0.9911689047
562	0.9907753953
563	0.98904753
564	0.9887214388
565	0.9864864422
566	0.9852389642
567	0.9829824201
568	0.9808193524
569	0.9783081534
570	0.9758816238
571	0.9739940498
572	0.9720400357
573	0.9709933554
574	0.9681440361
575	0.9669379896
576	0.9655883539
577	0.9644332651
578	0.9628854842
579	0.9602634609
580	0.9582444806
581	0.9565968092
582	0.9550808228
583	0.9535794358
584	0.9518343881
585	0.9504897867
586	0.948973393
587	0.9486233286
588	0.9462922623
589	0.9460609198
590	0.9448336829
591	0.9437305761
592	0.9417774074
593	0.9404729252
594	0.9389317553
595	0.9386710055
596	0.9369184005
597	0.9357586795
598	0.9339496301
599	0.9327245863
600	0.9311216616
601	0.9287281481
602	0.9279150066
603	0.927305977
604	0.925540178
605	0.924239407
606	0.9220142203
607	0.921689211
608	0.9206987143
609	0.9182482294
610	0.9166931778
611	0.916347897
612	0.9147465317
613	0.9128728944
